Time,Channel1
-0.00144,7.23492
-0.00143,7.07049
-0.00142,6.90606
-0.00141,6.90606
-0.0014,6.74163
-0.00139,6.74163
-0.00138,6.74163
-0.00137,6.5772
-0.00136,6.5772
-0.00135,6.41277
-0.00134,6.41277
-0.00133,6.41277
-0.00132,6.24834
-0.00131,6.24834
-0.0013,6.24834
-0.00129,6.08391
-0.00128,6.08391
-0.00127,6.08391
-0.00126,5.91948
-0.00125,5.75505
-0.00124,5.75505
-0.00123,5.75505
-0.00122,5.59062
-0.00121,5.59062
-0.0012,5.59062
-0.00119,5.59062
-0.00118,5.42619
-0.00117,5.42619
-0.00116,5.42619
-0.00115,5.42619
-0.00114,5.26176
-0.00113,5.26176
-0.00112,5.26176
-0.00111,5.09733
-0.0011,5.26176
-0.00109,5.09733
-0.00108,5.09733
-0.00107,4.9329
-0.00106,4.9329
-0.00105,4.9329
-0.00104,4.76847
-0.00103,4.76847
-0.00102,4.76847
-0.00101,4.76847
-0.001,4.60404
-0.00099,4.60404
-0.00098,4.43961
-0.00097,4.43961
-0.00096,4.43961
-0.00095,4.43961
-0.00094,4.27518
-0.00093,4.27518
-0.00092,4.27518
-0.00091,4.27518
-0.0009,4.27518
-0.00089,4.27518
-0.00088,4.11075
-0.00087,4.11075
-0.00086,4.11075
-0.00085,4.11075
-0.00084,4.11075
-0.00083,3.94632
-0.00082,3.94632
-0.00081,3.94632
-0.0008,3.94632
-0.00079,3.78189
-0.00078,3.78189
-0.00077,3.78189
-0.00076,3.78189
-0.00075,3.61746
-0.00074,3.61746
-0.00073,3.61746
-0.00072,3.61746
-0.00071,3.61746
-0.0007,3.45303
-0.00069,3.45303
-0.00068,3.45303
-0.00067,3.45303
-0.00066,3.45303
-0.00065,3.45303
-0.00064,3.2886
-0.00063,3.2886
-0.00062,3.2886
-0.00061,3.12417
-0.0006,3.2886
-0.00059,3.12417
-0.00058,3.12417
-0.00057,3.12417
-0.00056,2.95974
-0.00055,2.95974
-0.00054,2.95974
-0.00053,3.12417
-0.00052,2.95974
-0.00051,2.95974
-0.0005,2.95974
-0.00049,2.79531
-0.00048,2.95974
-0.00047,2.79531
-0.00046,2.79531
-0.00045,2.79531
-0.00044,2.79531
-0.00043,2.63088
-0.00042,2.79531
-0.00041,2.63088
-0.0004,2.79531
-0.00039,2.63088
-0.00038,2.79531
-0.00037,2.63088
-0.00036,2.79531
-0.00035,2.63088
-0.00034,2.46645
-0.00033,2.46645
-0.00032,2.46645
-0.00031,2.46645
-0.0003,2.46645
-0.00029,2.46645
-0.00028,2.30202
-0.00027,2.46645
-0.00026,2.30202
-0.00025,2.30202
-0.00024,2.30202
-0.00023,2.13759
-0.00022,2.30202
-0.00021,2.30202
-0.0002,2.30202
-0.00019,2.30202
-0.00018,2.13759
-0.00017,2.13759
-0.00016,2.13759
-0.00015,2.13759
-0.00014,2.13759
-0.00013,1.97316
-0.00012,2.13759
-0.00011,2.13759
-0.0001,1.97316
-0.00009,2.13759
-0.00008,1.97316
-0.00007,1.97316
-0.00006,1.97316
-0.00005,1.97316
-0.00004,1.97316
-0.00003,1.97316
-0.00002,1.97316
-0.00001,1.97316
0,1.80873
0.00001,1.97316
0.00002,1.80873
0.00003,1.80873
0.00004,1.80873
0.00005,1.80873
0.00006,1.80873
0.00007,1.80873
0.00008,1.80873
0.00009,1.80873
0.0001,1.80873
0.00011,1.6443
0.00012,1.6443
0.00013,1.6443
0.00014,1.6443
0.00015,1.6443
0.00016,1.6443
0.00017,1.6443
0.00018,1.47987
0.00019,1.6443
0.0002,1.6443
0.00021,1.47987
0.00022,1.6443
0.00023,1.6443
0.00024,1.47987
0.00025,1.47987
0.00026,1.47987
0.00027,1.47987
0.00028,1.47987
0.00029,1.47987
0.0003,1.47987
0.00031,1.47987
0.00032,1.47987
0.00033,1.31544
0.00034,1.47987
0.00035,1.47987
0.00036,1.47987
0.00037,1.47987
0.00038,1.31544
0.00039,1.47987
0.0004,1.31544
0.00041,1.31544
0.00042,1.31544
0.00043,1.31544
0.00044,1.31544
0.00045,1.31544
0.00046,1.31544
0.00047,1.31544
0.00048,1.31544
0.00049,1.31544
0.0005,1.31544
0.00051,1.31544
0.00052,1.15101
0.00053,1.31544
0.00054,1.15101
0.00055,1.15101
0.00056,1.15101
0.00057,1.15101
0.00058,1.31544
0.00059,1.15101
0.0006,1.15101
0.00061,1.15101
0.00062,1.31544
0.00063,1.15101
0.00064,1.15101
0.00065,1.15101
0.00066,0.98658
0.00067,0.98658
0.00068,1.15101
0.00069,0.98658
0.0007,0.98658
